Test Program: 	
Tester: 	
Device Name: 	
Operator: 	IT
LOT ID: 	
Start Time: 	
Fail #: 	588
Pass #: 	8033
Total #: 	8621

Name	Site#	Bin#	X	Y	VBR	VF1	VF2	IR_40V	VF3	
Unit	N	N	N	N	V	mV	mV	uA	mV	
Max	4	16	0	0	80.00	600.00	600.00	100.00	600.00	
Min	1	1	0	0	40.00	100.00	100.00	0.00	100.00	
1	1	5	0	43	7.36	214.47	278.53	1016.27	414.65	
2	1	1	0	44	70.12	210.90	274.47	22.16	406.75	
3	1	1	0	45	69.09	209.60	273.18	23.17	402.69	
4	1	1	0	46	68.31	210.58	274.47	22.84	403.01	
5	1	1	0	47	67.69	211.71	275.45	22.77	403.22	
6	1	1	0	48	64.85	211.39	274.15	33.59	403.47	
7	1	1	0	49	67.01	210.58	274.80	23.12	403.32	
8	1	1	0	50	66.98	211.06	275.28	23.11	403.34	
9	1	1	0	51	66.86	211.39	275.12	23.23	403.43	
10	1	1	0	52	66.66	211.55	274.63	23.56	403.43	
11	1	1	0	53	66.62	211.71	275.93	23.38	403.16	
12	1	1	0	54	66.46	211.87	275.12	23.55	401.97	
13	1	1	0	55	66.35	211.87	274.80	23.69	401.97	
14	1	1	0	56	66.26	211.06	275.12	23.73	402.74	
15	1	1	0	57	66.14	212.36	275.61	23.82	403.24	
16	1	5	0	58	0.02	158.36	270.74	1016.05	402.13	
17	1	1	0	59	66.15	210.74	274.96	24.02	403.16	
18	1	1	0	60	66.47	210.58	273.99	23.97	403.29	
19	1	1	0	61	67.10	209.28	273.99	24.21	403.45	
20	1	1	0	62	67.82	210.25	273.50	23.63	406.36	
21	1	5	1	39	8.00	213.17	277.07	1016.30	411.16	
22	1	1	1	40	70.19	208.63	272.04	23.22	401.63	
23	1	1	1	41	69.17	210.90	273.99	22.08	401.96	
24	1	1	1	42	68.47	211.39	274.63	22.03	402.51	
25	1	1	1	43	68.34	211.39	274.31	22.06	402.51	
26	1	1	1	44	68.13	211.71	275.12	22.21	402.07	
27	1	1	1	45	67.86	211.71	274.80	22.31	402.04	
28	1	1	1	46	67.65	212.20	275.12	22.51	401.63	
29	1	1	1	47	67.48	212.20	274.15	22.65	400.98	
30	1	1	1	48	67.26	212.52	274.96	22.71	401.11	
31	1	1	1	49	66.95	211.71	275.28	23.55	401.00	
32	1	1	1	50	66.57	212.04	274.47	24.10	400.66	
33	1	1	1	51	66.86	211.39	274.31	23.06	401.52	
34	1	1	1	52	66.68	212.68	274.80	23.30	401.89	
35	1	1	1	53	66.62	212.20	274.80	23.31	401.27	
36	1	1	1	54	65.83	211.55	274.63	23.86	399.94	
37	1	1	1	55	66.50	212.04	273.82	23.37	399.44	
38	1	1	1	56	66.41	212.20	274.15	23.46	400.58	
39	1	1	1	57	66.42	212.52	275.45	23.31	401.24	
40	1	1	1	58	62.40	211.06	274.80	32.60	400.72	
41	1	1	1	59	66.30	211.71	274.47	23.52	400.85	
42	1	5	1	60	0.02	165.49	270.74	1016.03	400.24	
43	1	1	1	61	66.06	211.71	274.80	23.85	402.51	
44	1	1	1	62	65.97	210.90	274.96	24.00	403.08	
45	1	1	1	63	65.47	211.39	274.80	25.79	403.17	
46	1	1	1	64	65.53	211.87	274.96	24.81	403.58	
47	1	1	1	65	65.68	211.06	274.96	24.60	403.27	
48	1	1	1	66	66.56	210.09	273.18	24.71	402.82	
49	1	5	2	36	17.23	212.04	275.28	1016.04	408.64	
50	1	1	2	37	70.82	209.60	272.69	22.13	403.01	
51	1	1	2	38	69.79	210.09	274.63	21.43	403.24	
52	1	1	2	39	69.29	211.22	274.63	21.50	402.59	
53	1	1	2	40	68.93	210.74	274.15	21.74	401.76	
54	1	1	2	41	68.67	212.20	274.15	21.79	400.92	
55	1	1	2	42	68.35	211.39	274.15	22.01	400.72	
56	1	5	2	43	0.02	166.14	270.42	1016.04	399.70	
57	1	1	2	44	67.56	211.06	274.80	22.80	400.97	
58	1	1	2	45	67.68	212.04	274.63	22.30	400.93	
59	1	8	2	46	53.13	211.71	274.80	247.19	399.65	
60	1	1	2	47	67.25	211.55	274.80	22.69	398.45	
61	1	1	2	48	67.09	212.20	274.80	22.76	399.03	
62	1	1	2	49	66.89	212.04	274.96	22.90	399.55	
63	1	1	2	50	66.58	211.71	274.96	24.83	399.57	
64	1	1	2	51	66.77	212.20	275.61	23.10	400.25	
65	1	1	2	52	66.68	211.71	275.28	23.01	400.33	
66	1	1	2	53	66.61	211.55	275.61	23.06	399.67	
67	1	1	2	54	66.60	212.36	275.28	23.12	398.45	
68	1	5	2	55	0.02	160.79	270.42	1016.04	397.54	
69	1	1	2	56	66.52	212.04	274.80	23.25	398.90	
70	1	1	2	57	66.46	212.36	274.31	23.14	399.15	
71	1	1	2	58	66.38	211.39	275.61	23.32	399.50	
72	1	1	2	59	66.31	212.36	275.12	23.33	399.75	
73	1	1	2	60	66.20	211.71	275.45	23.61	400.12	
74	1	1	2	61	66.03	211.71	274.96	23.69	400.90	
75	1	1	2	62	65.89	212.04	274.80	23.95	401.06	
76	1	1	2	63	65.78	212.04	275.12	24.08	401.32	
77	1	1	2	64	65.63	212.04	274.80	24.36	401.68	
78	1	1	2	65	65.50	211.55	275.12	24.50	401.50	
79	1	1	2	66	65.23	211.87	274.15	24.91	402.00	
80	1	1	2	67	63.46	211.39	274.80	36.96	402.35	
81	1	1	2	68	65.26	211.55	275.12	24.77	402.39	
82	1	1	2	69	65.81	211.55	274.15	24.62	401.66	
83	1	5	3	33	10.62	213.66	278.36	1016.08	415.43	
84	1	1	3	34	70.83	209.44	272.85	26.53	403.82	
85	1	1	3	35	71.53	211.39	274.15	20.74	404.02	
86	1	5	3	36	0.02	166.47	270.74	1016.03	401.92	
87	1	1	3	37	69.79	211.22	274.63	21.20	402.25	
88	1	1	3	38	69.37	210.58	274.96	21.45	401.71	
89	1	1	3	39	68.97	211.55	274.31	21.68	401.05	
90	1	1	3	40	68.65	211.87	274.96	21.87	400.45	
91	1	1	3	41	68.35	211.39	274.80	21.98	399.93	
92	1	1	3	42	68.14	211.71	274.63	22.14	400.17	
93	1	1	3	43	67.89	211.39	275.12	22.19	400.07	
94	1	1	3	44	67.66	211.39	274.80	22.28	400.28	
95	1	1	3	45	67.42	211.87	274.63	22.47	400.04	
96	1	1	3	46	67.24	211.39	275.12	22.68	399.20	
97	1	1	3	47	64.17	211.87	275.61	40.30	399.28	
98	1	1	3	48	65.40	212.20	274.47	25.91	399.62	
99	1	1	3	49	66.81	211.71	274.47	22.88	399.98	
100	1	1	3	50	66.76	212.36	274.63	22.95	399.59	
101	1	5	3	51	0.02	159.01	271.07	1016.03	397.91	
102	1	1	3	52	66.44	211.87	275.28	23.54	398.97	
103	1	1	3	53	66.57	211.71	275.12	22.98	398.17	
104	1	1	3	54	66.47	211.22	274.63	23.05	397.78	
105	1	1	3	55	66.41	212.20	275.45	23.16	397.46	
106	1	1	3	56	61.03	212.36	275.12	49.63	397.70	
107	1	1	3	57	66.26	212.20	275.12	23.24	398.50	
108	1	1	3	58	66.12	211.55	275.61	23.53	398.84	
109	1	1	3	59	66.03	212.04	274.47	23.61	398.74	
110	1	1	3	60	65.91	211.39	274.96	23.75	398.92	
111	1	1	3	61	65.65	211.87	274.31	23.99	399.20	
112	1	1	3	62	65.70	211.87	275.61	24.09	398.97	
113	1	1	3	63	65.66	211.87	275.28	23.98	399.15	
114	1	1	3	64	64.84	211.87	275.28	27.60	399.94	
115	1	1	3	65	65.53	211.71	275.77	24.18	400.14	
